# query_id num_block_accesses num_unique_blocks latency_us
868 2076 599 321099
869 1950 527 299723
870 1772 606 297291
871 1922 559 291270
872 1988 625 316577
873 1572 545 254618
874 1604 491 236772
875 1501 464 219015
876 1848 545 272108
877 1889 559 292689
878 1576 466 232759
879 1960 540 288320
880 1564 539 256103
881 1700 561 273875
882 1525 486 237634
883 1751 555 276735
884 1574 467 232602
885 1869 582 301891
886 2225 515 334224
887 2347 612 357711
888 1828 543 264794
889 1880 484 264034
890 1931 582 306281
891 1605 484 242420
892 1781 529 259439
893 1552 450 231343
894 1785 531 277385
895 2083 594 317507
896 2073 554 319913
897 1800 472 233461
898 1521 457 211582
899 1764 459 232927
900 1989 574 306550
901 1664 482 242231
902 1684 579 293426
903 1702 536 272938
904 1789 545 283863
905 1626 576 272896
906 2096 567 311834
907 1788 466 271315
908 1698 520 277276
909 1886 499 255562
910 1690 482 241095
911 1507 501 247927
912 1570 422 240318
913 1537 498 268061
914 1783 558 301214
915 1582 475 231224
916 1869 586 292725
917 1546 513 259555
918 1705 587 296951
919 1956 608 330472
920 1912 534 299011
921 1557 447 226223
922 1664 488 251262
923 1718 485 252864
924 1927 620 319737
925 1697 575 285577
926 1848 604 310660
927 1518 481 245973
928 2059 573 331038
929 1516 502 240056
930 2069 606 339663
931 1661 539 260828
932 2010 512 294346
933 1661 484 239332
934 1603 468 239383
935 1685 603 299998
936 2049 553 302909
937 1563 485 237018
938 1523 452 219018
939 1523 411 200925
940 1585 511 271845
941 1822 573 302350
942 1946 529 292877
943 1763 595 295524
944 1994 576 329000
945 1704 510 257958
946 1701 559 286961
947 1719 505 262067
948 1636 539 270782
949 1508 541 253086
950 1699 371 182466
951 1633 497 246533
952 1821 576 304295
953 1854 556 285264
954 1785 521 282992
955 1868 565 275907
956 1597 453 240220
957 1730 546 280284
958 2304 609 374631
959 1892 593 318043
960 1730 554 291765
961 1630 512 263425
962 1754 574 295479
963 1681 497 259528
964 1482 492 246807
965 1651 502 237688
966 1813 523 266668
967 2263 649 367856
968 1980 533 305187
969 1904 579 309242
970 1861 509 304537
971 2309 569 351586
972 1497 559 275355
973 1495 482 227236
974 1848 605 329128
975 2064 549 335497
976 1490 429 219965
977 1546 517 268439
978 2257 550 349599
979 1850 548 298050
980 1569 486 249248
981 2059 494 298441
982 1522 511 248332
983 1771 456 244214
984 1658 497 252124
985 2025 593 312531
986 1902 576 318326
987 1516 513 251212
988 1781 550 294231
989 1677 548 273288
990 2247 635 360861
991 1761 603 310313
992 1677 569 289398
993 1664 492 274279
994 1648 511 255958
995 1590 546 270711
996 1584 628 292762
997 1781 531 285174
998 1714 493 267176
999 2363 659 406948
